ÐòºÅ,V1,V2,label
224,-0.30 ,2.97 ,2
225,9.27 ,7.95 ,3
226,1.53 ,2.51 ,2
227,7.47 ,6.99 ,3
228,-1.51 ,5.54 ,1
229,0.87 ,0.34 ,2
230,4.74 ,3.19 ,3
231,-5.51 ,4.34 ,1
232,4.57 ,3.28 ,3
233,6.91 ,6.38 ,3
234,3.89 ,1.54 ,2
235,1.35 ,3.32 ,2
236,6.11 ,4.00 ,3
237,1.82 ,2.14 ,2
238,0.34 ,2.22 ,2
239,-3.00 ,3.38 ,1
240,-5.49 ,5.77 ,1
241,2.48 ,5.03 ,3
242,-0.12 ,1.36 ,2
243,-5.85 ,1.92 ,1
244,3.70 ,9.79 ,3
245,1.27 ,0.26 ,2
246,5.79 ,5.50 ,3
247,0.91 ,2.32 ,2
248,3.93 ,7.33 ,3
249,1.03 ,1.19 ,2
250,0.80 ,2.64 ,2
251,-0.18 ,2.54 ,2
252,0.09 ,1.51 ,2
253,2.21 ,1.41 ,2
254,-1.96 ,3.15 ,1
255,1.93 ,-0.07 ,2
256,-1.47 ,5.05 ,1
257,2.32 ,1.56 ,2
258,7.63 ,5.00 ,3
259,6.53 ,11.14 ,3
260,-4.21 ,3.54 ,1
261,4.21 ,4.40 ,3
262,4.59 ,5.40 ,3
263,7.65 ,11.51 ,3
264,-3.15 ,2.95 ,1
265,-3.94 ,2.50 ,1
266,2.26 ,1.16 ,2
267,-5.40 ,4.25 ,1
268,0.43 ,1.10 ,2
269,8.26 ,5.59 ,3
270,7.96 ,3.98 ,3
271,-5.86 ,5.01 ,1
272,3.63 ,9.28 ,3
273,8.94 ,3.62 ,3
274,8.62 ,1.24 ,3
275,-4.55 ,3.35 ,1
276,4.13 ,6.77 ,3
277,1.13 ,-0.03 ,2
278,-1.57 ,4.91 ,1
279,2.66 ,5.26 ,3
280,3.82 ,4.29 ,3
281,2.03 ,-0.25 ,2
282,6.11 ,6.05 ,3
283,-0.19 ,1.99 ,2
284,4.24 ,5.21 ,3
285,0.91 ,2.92 ,2
286,3.05 ,1.80 ,2
287,1.62 ,0.72 ,2
288,-7.67 ,4.90 ,1
289,-1.59 ,4.70 ,1
290,6.13 ,9.11 ,3
291,0.54 ,0.11 ,2
292,2.04 ,1.15 ,2
293,3.98 ,8.78 ,3
294,6.87 ,6.68 ,3
295,4.60 ,3.50 ,3
296,7.15 ,6.56 ,3
297,-1.16 ,0.95 ,2
298,2.61 ,0.46 ,2
299,-4.95 ,5.57 ,1
300,2.84 ,2.66 ,2
301,2.33 ,3.02 ,2
302,5.94 ,6.40 ,3
303,1.78 ,3.37 ,3
304,7.05 ,5.30 ,3
305,8.34 ,3.96 ,3
306,3.10 ,1.31 ,2
307,1.37 ,1.96 ,2
308,-2.77 ,3.98 ,1
309,-4.54 ,1.89 ,1
310,-1.65 ,2.12 ,2
311,1.59 ,3.18 ,2
312,-1.54 ,1.82 ,1
313,-0.06 ,1.93 ,2
314,1.92 ,1.10 ,2
315,3.67 ,7.13 ,3
316,-0.03 ,0.74 ,2
317,9.97 ,5.05 ,3
318,0.92 ,4.13 ,2
319,-2.82 ,5.05 ,1
320,6.13 ,6.51 ,3
321,-5.28 ,5.74 ,1
322,3.67 ,7.41 ,3
323,4.26 ,2.02 ,3
324,4.48 ,4.51 ,3
325,-4.01 ,5.53 ,1
326,-5.12 ,4.72 ,1
327,7.75 ,7.12 ,3
328,-7.34 ,3.59 ,1
329,-4.95 ,1.25 ,1
330,-3.54 ,4.89 ,1
331,2.99 ,1.82 ,2
332,2.29 ,3.19 ,2
333,1.26 ,3.88 ,2
334,7.62 ,8.39 ,3
335,0.37 ,1.48 ,2
336,0.17 ,3.33 ,2
337,2.67 ,6.34 ,3
338,-3.88 ,2.80 ,1
339,6.14 ,7.86 ,3
340,-3.70 ,4.34 ,1
341,4.46 ,3.41 ,3
342,-4.54 ,0.91 ,1
343,2.34 ,1.10 ,2
344,-6.03 ,2.60 ,1
345,7.62 ,2.74 ,3
346,-3.63 ,5.14 ,1
347,1.44 ,3.78 ,2
348,6.56 ,7.41 ,3
349,0.67 ,1.03 ,2
350,0.46 ,3.12 ,2
351,-2.07 ,5.76 ,1
352,-6.35 ,0.41 ,1
353,0.56 ,0.97 ,2
354,0.06 ,2.05 ,2
355,5.18 ,4.02 ,2
356,-6.74 ,2.43 ,1
357,1.89 ,1.82 ,2
358,1.18 ,1.08 ,2
359,6.23 ,7.72 ,3
360,6.67 ,6.95 ,3
361,6.56 ,6.51 ,3
362,6.23 ,3.92 ,3
363,-3.01 ,4.45 ,1
364,6.85 ,6.26 ,3
365,0.52 ,2.32 ,2
366,6.35 ,8.38 ,3
367,6.50 ,5.67 ,3
368,4.16 ,3.77 ,3
369,2.23 ,0.41 ,2
370,-3.22 ,5.63 ,1
371,1.44 ,1.01 ,2
372,9.61 ,4.66 ,3
373,2.63 ,9.04 ,3
374,1.26 ,1.59 ,2
375,5.73 ,5.03 ,3
376,-3.31 ,1.16 ,1
377,-1.48 ,2.77 ,2
378,1.59 ,-0.36 ,2
379,-1.52 ,4.88 ,1
380,7.61 ,5.40 ,3
381,7.77 ,6.30 ,3
382,0.79 ,1.45 ,2
383,-6.66 ,3.18 ,1
384,5.40 ,6.95 ,3
385,5.36 ,7.64 ,3
386,0.86 ,0.31 ,2
387,0.88 ,2.79 ,2
388,2.14 ,4.11 ,2
389,1.95 ,1.80 ,3
390,4.36 ,6.07 ,3
391,-4.92 ,7.44 ,1
392,1.94 ,0.96 ,2
393,5.15 ,8.11 ,3
394,-4.84 ,1.89 ,1
395,0.26 ,2.87 ,2
396,5.34 ,2.79 ,3
397,-5.79 ,3.72 ,1
398,-2.58 ,2.77 ,1
399,5.73 ,6.91 ,3
400,-6.78 ,4.52 ,1
401,6.28 ,5.94 ,3
402,2.25 ,2.09 ,2
403,6.92 ,10.18 ,3
404,5.25 ,9.54 ,3
405,6.24 ,3.92 ,3
406,6.23 ,5.83 ,3
407,-3.38 ,2.61 ,1
408,-5.39 ,2.07 ,1
409,-1.68 ,0.80 ,2
410,0.57 ,1.26 ,2
411,-5.42 ,3.67 ,1
412,-4.90 ,2.85 ,1
413,7.10 ,5.55 ,3
414,7.30 ,5.79 ,3
415,0.86 ,1.13 ,2
416,1.03 ,2.23 ,2
417,2.03 ,2.59 ,2
418,4.24 ,3.64 ,2
419,-0.05 ,1.62 ,2
420,-4.10 ,3.21 ,1
421,0.60 ,2.25 ,2
422,-4.13 ,2.34 ,1
423,6.82 ,3.80 ,3
424,0.87 ,0.14 ,2
425,7.40 ,4.96 ,3
426,5.13 ,4.98 ,3
427,10.05 ,3.90 ,3
428,0.26 ,2.26 ,2
429,-0.36 ,2.88 ,2
430,6.02 ,6.55 ,3
431,1.72 ,1.36 ,2
432,8.26 ,3.16 ,3
433,1.30 ,0.35 ,2
434,0.35 ,0.76 ,2
435,-6.65 ,3.87 ,1
436,2.49 ,6.65 ,3
437,9.36 ,4.45 ,3
438,-2.08 ,3.40 ,1
439,-6.39 ,5.30 ,1
440,0.76 ,1.19 ,2
441,-5.85 ,3.82 ,1
442,-4.56 ,3.81 ,1
443,-4.34 ,1.75 ,1
444,-4.34 ,3.96 ,1
445,-4.93 ,5.20 ,1
446,7.16 ,5.34 ,3
447,-4.38 ,3.49 ,1
448,1.13 ,3.69 ,2
449,3.31 ,1.29 ,2
450,4.04 ,2.60 ,3
451,-0.34 ,1.84 ,2
452,3.32 ,5.56 ,3
453,1.35 ,3.11 ,2
454,4.30 ,4.18 ,3
455,6.39 ,6.10 ,3
456,-4.18 ,7.36 ,1
457,1.29 ,2.21 ,2
458,3.56 ,5.57 ,3
459,-3.41 ,4.79 ,1
460,5.88 ,6.67 ,3
461,1.49 ,0.10 ,2
462,2.21 ,3.45 ,2
463,2.86 ,3.82 ,3
464,4.48 ,5.84 ,3
465,5.76 ,5.56 ,3
466,-4.35 ,2.37 ,1
467,0.66 ,3.29 ,2
468,8.13 ,5.71 ,3
469,4.99 ,8.59 ,3
470,-4.82 ,2.42 ,1
471,2.91 ,8.25 ,3
472,1.38 ,1.81 ,2
473,4.41 ,4.98 ,3
474,-2.15 ,3.19 ,1
475,2.73 ,-0.35 ,2
476,-4.21 ,3.75 ,1
477,-4.73 ,3.34 ,1
478,4.78 ,4.87 ,3
479,-4.80 ,2.17 ,1
480,2.51 ,11.77 ,3
481,-4.01 ,4.55 ,1
482,-2.95 ,4.91 ,1
483,5.11 ,5.04 ,3
484,-3.81 ,4.46 ,1
485,4.11 ,6.79 ,3
486,5.01 ,8.59 ,3
487,4.09 ,4.50 ,3
488,-6.48 ,3.77 ,1
489,3.81 ,6.40 ,3
490,-3.89 ,3.08 ,1
491,-1.11 ,1.03 ,2
492,0.41 ,2.43 ,2
493,-3.74 ,3.43 ,1
494,-3.13 ,4.52 ,1
495,0.90 ,1.06 ,2
496,8.01 ,5.90 ,3
497,2.12 ,0.99 ,2
498,5.00 ,4.83 ,3
499,-1.23 ,2.76 ,2
500,-3.44 ,4.32 ,1
501,-9.47 ,4.51 ,1
502,1.45 ,3.18 ,2
503,1.56 ,2.17 ,2
504,1.21 ,1.56 ,2
505,0.50 ,1.95 ,2
506,-5.81 ,3.38 ,1
507,0.28 ,2.66 ,2
508,-0.22 ,1.47 ,2
509,-1.06 ,1.25 ,2
510,2.78 ,5.47 ,3
511,-4.71 ,2.63 ,1
512,-3.94 ,0.81 ,1
513,-4.25 ,3.96 ,1
514,6.41 ,4.80 ,3
515,-0.67 ,0.19 ,2
516,2.32 ,2.55 ,2
517,8.61 ,6.96 ,3
518,2.55 ,1.63 ,2
519,7.25 ,6.84 ,3
520,0.99 ,1.23 ,2
521,0.90 ,4.14 ,2
522,0.28 ,2.27 ,2
523,2.43 ,1.32 ,2
524,0.30 ,2.02 ,2
525,-0.24 ,1.18 ,2
526,2.56 ,1.34 ,2
527,3.54 ,5.21 ,3
528,9.09 ,4.22 ,3
529,-3.39 ,1.61 ,1
530,-3.36 ,3.24 ,1
531,-2.56 ,3.91 ,1
532,1.75 ,3.33 ,2
533,1.33 ,2.82 ,2
534,7.90 ,6.74 ,3
535,-8.41 ,2.10 ,1
536,-3.78 ,1.63 ,1
537,-3.66 ,3.57 ,1
538,-5.40 ,3.95 ,1
539,-7.68 ,4.44 ,1
540,3.88 ,6.21 ,3
541,3.50 ,3.57 ,2
542,-6.70 ,3.18 ,1
543,-4.33 ,1.74 ,1
544,4.80 ,7.90 ,3
545,2.06 ,3.08 ,2
546,0.20 ,2.01 ,2
547,7.48 ,2.09 ,3
548,1.50 ,2.83 ,2
549,-1.61 ,1.30 ,1
550,-6.04 ,6.47 ,1
551,3.09 ,7.60 ,3
552,0.32 ,1.98 ,2
553,7.43 ,7.08 ,3
554,1.51 ,-0.11 ,2
555,8.80 ,3.13 ,3
556,7.00 ,4.62 ,3
557,0.58 ,3.55 ,2
558,6.65 ,7.61 ,3
559,2.65 ,2.12 ,2
560,-1.03 ,3.62 ,1
561,1.42 ,5.94 ,3
562,-4.05 ,5.34 ,1
563,2.71 ,1.86 ,2
564,-6.01 ,5.69 ,1
565,0.34 ,3.85 ,2
566,-3.86 ,2.57 ,1
567,-2.71 ,7.41 ,1
568,-2.27 ,2.90 ,1
569,-2.86 ,2.03 ,1
570,-4.93 ,3.21 ,1
571,5.88 ,5.66 ,3
572,5.25 ,6.05 ,3
573,4.67 ,2.80 ,3
574,7.48 ,8.28 ,3
575,7.02 ,7.37 ,3
576,0.78 ,3.13 ,2
577,0.82 ,9.38 ,3
578,1.64 ,1.88 ,2
579,-6.40 ,6.46 ,1
580,3.24 ,0.63 ,2
581,6.10 ,8.42 ,3
582,4.27 ,5.63 ,3
583,3.47 ,7.52 ,3
584,1.63 ,-0.05 ,2
585,5.77 ,6.88 ,3
586,6.09 ,3.91 ,3
587,4.37 ,5.41 ,3
588,2.57 ,5.41 ,3
589,6.11 ,7.16 ,3
590,1.06 ,4.10 ,2
591,-6.61 ,1.90 ,1
592,5.59 ,6.57 ,3
593,5.60 ,5.43 ,3
594,0.66 ,2.31 ,2
595,4.49 ,7.44 ,3
596,-3.69 ,5.09 ,1
597,-4.87 ,3.42 ,1
598,-5.34 ,0.89 ,1
599,1.47 ,0.90 ,2
600,2.69 ,3.33 ,2
601,1.72 ,0.74 ,2
602,0.37 ,2.52 ,2
603,-3.93 ,3.53 ,1
604,6.86 ,6.68 ,3
605,4.56 ,3.08 ,3
606,2.73 ,6.96 ,3
607,-4.06 ,0.90 ,1
608,4.63 ,4.86 ,3
609,3.38 ,2.87 ,3
610,-2.52 ,5.20 ,1
611,-3.52 ,4.50 ,1
612,2.39 ,2.02 ,2
613,4.31 ,6.23 ,3
614,-4.92 ,4.11 ,1
615,7.71 ,3.18 ,3
616,-3.06 ,3.24 ,1
617,4.16 ,7.86 ,3
618,-5.33 ,7.46 ,1
619,6.95 ,5.09 ,3
620,-0.76 ,2.27 ,2
621,1.25 ,0.24 ,2
622,2.82 ,2.42 ,2
623,-4.04 ,5.80 ,1
624,5.63 ,5.63 ,3
625,-3.49 ,2.69 ,1
626,7.64 ,4.58 ,3
627,6.00 ,5.12 ,3
628,-0.35 ,2.27 ,2
629,-3.12 ,4.94 ,1
630,5.30 ,7.85 ,3
631,5.28 ,3.00 ,3
632,6.56 ,6.97 ,3
633,-5.99 ,4.97 ,1
634,6.91 ,5.85 ,3
635,-3.70 ,4.26 ,1
636,7.40 ,6.68 ,3
637,5.90 ,2.76 ,3
638,0.24 ,-0.51 ,2
639,-2.59 ,6.09 ,1
640,1.95 ,4.66 ,1
641,3.85 ,4.09 ,3
642,-3.39 ,3.26 ,1
643,0.82 ,2.04 ,2
644,2.89 ,2.46 ,2
645,-8.62 ,3.40 ,1
646,5.24 ,6.52 ,3
647,-1.96 ,2.29 ,1
648,2.98 ,4.73 ,3
649,5.44 ,3.30 ,3
650,10.83 ,8.18 ,3
651,-5.75 ,2.66 ,1
652,1.70 ,4.19 ,2
653,0.80 ,2.58 ,2
654,0.03 ,2.05 ,2
655,1.59 ,4.81 ,3
656,5.78 ,3.71 ,3
657,7.55 ,3.18 ,3
658,0.89 ,2.76 ,2
659,-1.80 ,2.32 ,2
660,4.23 ,3.08 ,3
661,-2.51 ,5.55 ,1
662,5.05 ,7.35 ,3
663,-0.29 ,3.51 ,2
664,-5.43 ,5.98 ,1
665,-5.89 ,4.06 ,1
666,-3.58 ,6.31 ,1
667,1.17 ,2.10 ,2
668,-5.43 ,4.32 ,1
669,1.06 ,3.07 ,2
670,9.47 ,8.10 ,3
671,-2.54 ,5.10 ,1
672,3.73 ,3.36 ,3
673,3.53 ,5.82 ,3
674,7.01 ,3.31 ,3
675,-2.79 ,2.65 ,1
676,1.58 ,3.26 ,2
677,7.38 ,4.60 ,3
678,-1.33 ,3.01 ,1
679,-2.89 ,4.68 ,1
680,-1.27 ,2.81 ,1
681,5.32 ,2.85 ,3
682,2.07 ,1.45 ,2
683,5.41 ,6.94 ,3
684,-1.07 ,2.01 ,2
685,6.98 ,3.72 ,3
686,-1.56 ,2.90 ,1
687,6.37 ,6.67 ,3
688,4.90 ,2.91 ,3
689,-1.37 ,7.92 ,1
690,0.35 ,-0.16 ,2
691,1.36 ,2.86 ,2
692,-2.69 ,3.75 ,1
693,2.26 ,2.67 ,2
694,-3.89 ,2.88 ,1
695,0.44 ,2.30 ,2
696,0.92 ,0.24 ,2
697,0.35 ,0.20 ,2
698,-1.46 ,4.99 ,1
699,0.29 ,1.53 ,2
700,0.84 ,1.27 ,2
701,1.12 ,2.25 ,2
702,6.02 ,4.95 ,3
703,-1.73 ,2.61 ,2
704,-4.14 ,4.36 ,1
705,8.85 ,5.26 ,3
706,1.44 ,1.52 ,2
707,8.89 ,5.58 ,3
708,9.04 ,4.10 ,3
709,-0.27 ,1.37 ,2
710,6.40 ,6.63 ,3
711,-3.10 ,4.78 ,1
712,-4.02 ,5.23 ,1
713,-2.46 ,1.97 ,1
714,4.04 ,6.28 ,3
715,0.23 ,1.49 ,2
716,8.21 ,4.08 ,3
717,0.31 ,2.75 ,2
718,5.89 ,10.86 ,3
719,5.00 ,5.38 ,3
720,-1.68 ,3.29 ,1
721,5.66 ,7.14 ,3
722,5.20 ,4.72 ,3
723,-5.12 ,5.34 ,1
724,1.54 ,2.20 ,2
725,2.18 ,2.42 ,2
726,6.99 ,5.29 ,3
727,2.24 ,1.81 ,2
728,3.74 ,3.63 ,3
729,5.53 ,5.55 ,3
730,5.23 ,6.61 ,3
731,1.41 ,0.19 ,2
732,1.90 ,0.84 ,2
733,7.63 ,4.28 ,3
734,-0.27 ,2.01 ,2
735,-5.17 ,6.03 ,1
736,-4.50 ,4.43 ,1
737,8.40 ,5.54 ,3
738,-6.32 ,3.56 ,1
739,5.14 ,7.54 ,3
740,-2.16 ,2.07 ,1
741,7.14 ,9.00 ,3
742,1.47 ,0.87 ,2
743,1.71 ,2.04 ,2
744,3.03 ,1.38 ,2
745,-2.92 ,5.38 ,1
746,-1.96 ,3.39 ,1
747,1.85 ,4.01 ,2
748,-0.67 ,2.14 ,2
749,8.49 ,5.70 ,3
750,5.68 ,2.38 ,3
751,4.88 ,7.01 ,3
752,-3.30 ,3.53 ,1
753,-3.04 ,6.16 ,1
754,3.24 ,6.02 ,3
755,-4.51 ,3.66 ,1
756,-5.06 ,4.09 ,1
757,0.57 ,0.01 ,2
758,6.46 ,5.87 ,3
759,1.26 ,1.32 ,2
760,-2.45 ,5.65 ,1
761,3.04 ,0.86 ,2
762,0.95 ,5.35 ,3
763,0.74 ,1.83 ,2
764,-5.14 ,0.39 ,1
765,-3.92 ,7.36 ,1
766,0.51 ,2.52 ,2
767,-3.82 ,3.97 ,1
768,6.17 ,6.86 ,3
769,2.11 ,2.56 ,2
770,2.15 ,3.00 ,2
771,-3.28 ,4.36 ,1
772,-5.43 ,6.60 ,1
773,-5.15 ,6.01 ,1
774,7.87 ,5.51 ,3
775,6.41 ,5.42 ,3
776,5.19 ,5.51 ,3
777,4.93 ,3.85 ,3
778,-3.60 ,3.54 ,1
779,0.98 ,2.75 ,2
780,-2.34 ,2.08 ,1
781,4.00 ,2.65 ,2
782,5.58 ,5.68 ,3
783,0.76 ,0.41 ,2
784,0.58 ,0.01 ,2
785,-1.44 ,4.38 ,1
786,-4.07 ,2.68 ,1
787,-4.61 ,3.09 ,1
788,-0.04 ,0.89 ,1
789,1.79 ,2.74 ,2
790,-0.70 ,2.27 ,2
791,6.88 ,4.08 ,3
792,2.13 ,1.15 ,2
793,-3.87 ,4.78 ,1
794,8.44 ,6.10 ,3
795,-3.03 ,2.94 ,1
796,-4.62 ,3.04 ,1
797,5.82 ,4.17 ,3
798,9.12 ,3.23 ,3
799,4.93 ,4.02 ,3
800,7.78 ,5.61 ,3
801,-5.23 ,3.70 ,1
802,7.22 ,9.30 ,3
803,-1.83 ,3.70 ,1
804,2.94 ,0.63 ,2
805,11.27 ,7.30 ,3
806,1.63 ,1.67 ,2
807,-2.46 ,5.90 ,1
808,1.39 ,3.17 ,2
809,-6.12 ,1.23 ,1
810,6.85 ,1.82 ,3
811,-3.35 ,2.99 ,1
812,0.19 ,3.01 ,2
813,-2.58 ,2.08 ,1
814,4.28 ,0.92 ,3
815,-6.40 ,2.42 ,1
816,-4.85 ,4.13 ,1
817,2.33 ,6.94 ,3
818,-2.33 ,6.79 ,1
819,-4.34 ,6.11 ,1
820,1.89 ,4.36 ,2
821,-7.65 ,1.92 ,1
822,1.52 ,2.18 ,2
823,3.00 ,-0.27 ,2
824,6.22 ,2.02 ,3
825,-0.60 ,2.25 ,2
826,4.43 ,3.84 ,3
827,0.32 ,2.09 ,2
828,3.99 ,10.10 ,3
829,8.93 ,9.28 ,3
830,-4.44 ,1.69 ,1
831,-0.49 ,2.96 ,2
832,2.74 ,1.94 ,2
833,-2.13 ,1.28 ,1
834,4.24 ,7.46 ,3
835,-3.99 ,3.08 ,1
836,4.57 ,6.95 ,3
837,2.31 ,0.55 ,2
838,-4.67 ,6.15 ,1
839,-3.86 ,3.92 ,1
840,5.78 ,8.24 ,3
841,2.26 ,6.16 ,3
842,-2.18 ,3.94 ,1
843,-3.21 ,3.93 ,1
844,4.97 ,6.79 ,3
845,0.01 ,0.21 ,2
846,8.22 ,4.92 ,3
847,3.21 ,3.32 ,3
848,-0.55 ,3.39 ,2
849,4.91 ,9.89 ,3
850,-0.32 ,-1.28 ,2
851,-3.25 ,1.81 ,1
852,-5.64 ,2.67 ,1
